        Frequency / GHz                S2,1/abs,dB
                  7.6036                      -96.817424
                  7.6048                      -96.795897
                   7.606                      -96.774367
                  7.6072                      -96.752834
                  7.6084                      -96.731297
                  7.6096                      -96.709757
                  7.6108                      -96.688213
                   7.612                      -96.666666
                  7.6132                      -96.645116
                  7.6144                      -96.623562
                  7.6156                      -96.602004
                  7.6168                      -96.580443
                   7.618                      -96.558879
                  7.6192                       -96.53731
                  7.6204                      -96.515739
                  7.6216                      -96.494163
                  7.6228                      -96.472584
                   7.624                      -96.451001
                  7.6252                      -96.429415
                  7.6264                      -96.407825
                  7.6276                      -96.386231
                  7.6288                      -96.364634
                    7.63                      -96.343032
                  7.6312                      -96.321427
                  7.6324                      -96.299818
                  7.6336                      -96.278205
                  7.6348                      -96.256589
                   7.636                      -96.234968
                  7.6372                      -96.213344
                  7.6384                      -96.191716
                  7.6396                      -96.170084
                  7.6408                      -96.148447
                   7.642                      -96.126807
                  7.6432                      -96.105163
                  7.6444                      -96.083515
                  7.6456                      -96.061863
                  7.6468                      -96.040207
                   7.648                      -96.018546
                  7.6492                      -95.996882
                  7.6504                      -95.975214
                  7.6516                      -95.953541
                  7.6528                      -95.931864
                   7.654                      -95.910183
                  7.6552                      -95.888498
                  7.6564                      -95.866809
                  7.6576                      -95.845115
                  7.6588                      -95.823417
                    7.66                      -95.801715
                  7.6612                      -95.780009
                  7.6624                      -95.758298
                  7.6636                      -95.736583
                  7.6648                      -95.714864
                   7.666                       -95.69314
                  7.6672                      -95.671412
                  7.6684                      -95.649679
                  7.6696                      -95.627942
                  7.6708                        -95.6062
                   7.672                      -95.584454
                  7.6732                      -95.562704
                  7.6744                      -95.540949
                  7.6756                      -95.519189
                  7.6768                      -95.497425
                   7.678                      -95.475656
                  7.6792                      -95.453883
                  7.6804                      -95.432105
                  7.6816                      -95.410323
                  7.6828                      -95.388536
                   7.684                      -95.366744
                  7.6852                      -95.344947
                  7.6864                      -95.323146
                  7.6876                       -95.30134
                  7.6888                      -95.279529
                    7.69                      -95.257713
                  7.6912                      -95.235893
                  7.6924                      -95.214068
                  7.6936                      -95.192238
                  7.6948                      -95.170403
                   7.696                      -95.148563
                  7.6972                      -95.126718
                  7.6984                      -95.104869
                  7.6996                      -95.083014
                  7.7008                      -95.061155
                   7.702                       -95.03929
                  7.7032                      -95.017421
                  7.7044                      -94.995546
                  7.7056                      -94.973667
                  7.7068                      -94.951782
                   7.708                      -94.929892
                  7.7092                      -94.907997
                  7.7104                      -94.886098
                  7.7116                      -94.864193
                  7.7128                      -94.842282
                   7.714                      -94.820367
                  7.7152                      -94.798446
                  7.7164                      -94.776521
                  7.7176                      -94.754589
                  7.7188                      -94.732653
                    7.72                      -94.710712
                  7.7212                      -94.688765
                  7.7224                      -94.666813
                  7.7236                      -94.644855
                  7.7248                      -94.622892
                   7.726                      -94.600924
                  7.7272                       -94.57895
                  7.7284                      -94.556971
                  7.7296                      -94.534986
                  7.7308                      -94.512996
                   7.732                      -94.491001
                  7.7332                         -94.469
                  7.7344                      -94.446994
                  7.7356                      -94.424982
                  7.7368                      -94.402964
                   7.738                      -94.380941
                  7.7392                      -94.358912
                  7.7404                      -94.336878
                  7.7416                      -94.314838
                  7.7428                      -94.292792
                   7.744                      -94.270741
                  7.7452                      -94.248684
                  7.7464                      -94.226621
                  7.7476                      -94.204552
                  7.7488                      -94.182478
                    7.75                      -94.160398
                  7.7512                      -94.138312
                  7.7524                      -94.116221
                  7.7536                      -94.094123
                  7.7548                       -94.07202
                   7.756                      -94.049911
                  7.7572                      -94.027795
                  7.7584                      -94.005674
                  7.7596                      -93.983547
                  7.7608                      -93.961415
                   7.762                      -93.939276
                  7.7632                      -93.917131
                  7.7644                       -93.89498
                  7.7656                      -93.872823
                  7.7668                       -93.85066
                   7.768                      -93.828491
                  7.7692                      -93.806316
                  7.7704                      -93.784134
                  7.7716                      -93.761947
                  7.7728                      -93.739753
                   7.774                      -93.717554
                  7.7752                      -93.695348
                  7.7764                      -93.673136
                  7.7776                      -93.650917
                  7.7788                      -93.628693
                    7.78                      -93.606462
                  7.7812                      -93.584225
                  7.7824                      -93.561981
                  7.7836                      -93.539731
                  7.7848                      -93.517475
                   7.786                      -93.495212
                  7.7872                      -93.472943
                  7.7884                      -93.450668
                  7.7896                      -93.428386
                  7.7908                      -93.406098
                   7.792                      -93.383803
                  7.7932                      -93.361502
                  7.7944                      -93.339194
                  7.7956                       -93.31688
                  7.7968                      -93.294559
                   7.798                      -93.272232
                  7.7992                      -93.249898
                  7.8004                      -93.227557
                  7.8016                       -93.20521
                  7.8028                      -93.182856
                   7.804                      -93.160495
                  7.8052                      -93.138128
                  7.8064                      -93.115754
                  7.8076                      -93.093373
                  7.8088                      -93.070986
                    7.81                      -93.048591
                  7.8112                       -93.02619
                  7.8124                      -93.003783
                  7.8136                      -92.981368
                  7.8148                      -92.958946
                   7.816                      -92.936518
                  7.8172                      -92.914083
                  7.8184                       -92.89164
                  7.8196                      -92.869191
                  7.8208                      -92.846735
                   7.822                      -92.824272
                  7.8232                      -92.801802
                  7.8244                      -92.779325
                  7.8256                       -92.75684
                  7.8268                      -92.734349
                   7.828                      -92.711851
                  7.8292                      -92.689345
                  7.8304                      -92.666833
                  7.8316                      -92.644313
                  7.8328                      -92.621786
                   7.834                      -92.599252
                  7.8352                      -92.576711
                  7.8364                      -92.554163
                  7.8376                      -92.531607
                  7.8388                      -92.509044
                    7.84                      -92.486474
                  7.8412                      -92.463897
                  7.8424                      -92.441312
                  7.8436                       -92.41872
                  7.8448                       -92.39612
                   7.846                      -92.373513
                  7.8472                      -92.350899
                  7.8484                      -92.328277
                  7.8496                      -92.305648
                  7.8508                      -92.283011
                   7.852                      -92.260367
                  7.8532                      -92.237716
                  7.8544                      -92.215056
                  7.8556                       -92.19239
                  7.8568                      -92.169715
                   7.858                      -92.147034
                  7.8592                      -92.124344
                  7.8604                      -92.101647
                  7.8616                      -92.078942
                  7.8628                       -92.05623
                   7.864                       -92.03351
                  7.8652                      -92.010782
                  7.8664                      -91.988046
                  7.8676                      -91.965303
                  7.8688                      -91.942552
                    7.87                      -91.919793
                  7.8712                      -91.897026
                  7.8724                      -91.874252
                  7.8736                      -91.851469
                  7.8748                      -91.828679
                   7.876                      -91.805881
                  7.8772                      -91.783075
                  7.8784                      -91.760261
                  7.8796                      -91.737439
                  7.8808                      -91.714609
                   7.882                      -91.691771
                  7.8832                      -91.668925
                  7.8844                      -91.646071
                  7.8856                      -91.623209
                  7.8868                      -91.600339
                   7.888                       -91.57746
                  7.8892                      -91.554574
                  7.8904                      -91.531679
                  7.8916                      -91.508777
                  7.8928                      -91.485866
                   7.894                      -91.462946
                  7.8952                      -91.440019
                  7.8964                      -91.417083
                  7.8976                      -91.394139
                  7.8988                      -91.371187
                     7.9                      -91.348227
                  7.9012                      -91.325258
                  7.9024                      -91.302281
                  7.9036                      -91.279295
                  7.9048                      -91.256301
                   7.906                      -91.233299
                  7.9072                      -91.210288
                  7.9084                      -91.187268
                  7.9096                       -91.16424
                  7.9108                      -91.141204
                   7.912                      -91.118159
                  7.9132                      -91.095106
                  7.9144                      -91.072044
                  7.9156                      -91.048973
                  7.9168                      -91.025894
                   7.918                      -91.002806
                  7.9192                       -90.97971
                  7.9204                      -90.956604
                  7.9216                       -90.93349
                  7.9228                      -90.910368
                   7.924                      -90.887236
                  7.9252                      -90.864096
                  7.9264                      -90.840947
                  7.9276                       -90.81779
                  7.9288                      -90.794623
                    7.93                      -90.771448
                  7.9312                      -90.748263
                  7.9324                       -90.72507
                  7.9336                      -90.701868
                  7.9348                      -90.678657
                   7.936                      -90.655437
                  7.9372                      -90.632208
                  7.9384                       -90.60897
                  7.9396                      -90.585723
                  7.9408                      -90.562467
                   7.942                      -90.539201
                  7.9432                      -90.515927
                  7.9444                      -90.492644
